group_id_1,group_id_2,n_dwellings_1,n_dwellings_2,interim_group_type_1,interim_group_type_2,boundary_distance_m,centroid_distance_m,nearest_dwelling_between_groups_m,macro_corridor_width_m,macro_link_max_boundary_distance_m,macro_nearest_dwelling_link_m,macro_link_score,macro_link_candidate,corridor_context_evaluated,corridor_context_note,context_area_m2,surveyed_area_m2,absence_area_m2,no_data_area_m2,surveyed_ratio,absence_ratio_in_surveyed,no_data_ratio,pair_interpretation
C3,C4,22,11,dense_candidate,dense_candidate,10.533674558922897,34.15433467266693,17.074159331466653,20,100,80,0.894663254410771,TRUE,TRUE,evaluated,2544.8600442572124,615.3424342572202,67.99358322317917,859.8777560099475,0.24179814353477538,0.11049714669077587,0.33788803354839364,macro_link_candidate
C10,C13,7,5,dense_candidate,dense_candidate,17.716634012301725,39.50769594340975,24.212171924532143,20,100,80,0.8228336598769828,TRUE,TRUE,evaluated,2761.231441872864,2131.8501837242698,1229.1615258413476,450.38346534591074,0.7720650110656052,0.5765703121286151,0.16310963960356348,macro_link_with_possible_internal_void_or_plaza
C11,C12,7,5,dense_candidate,dense_candidate,10.690215241117235,44.3815468948404,17.186519246314624,20,100,80,0.8930978475888276,TRUE,TRUE,evaluated,2876.814520380809,2818.0384471642433,1797.9179330660431,12.434597991290957,0.9795690431899011,0.6380033369932427,0.004322349565186763,macro_link_with_possible_internal_void_or_plaza
C8,C9,14,5,dense_candidate,dense_candidate,13.476629308774372,49.29298308477778,19.972772613284175,20,100,80,0.8652337069122563,TRUE,TRUE,evaluated,3147.0528395944857,1913.8101556235908,1120.358855505077,584.4679767623986,0.6081277478233239,0.5854075192426922,0.18571914948771892,macro_link_with_possible_internal_void_or_plaza
C18,C3,13,22,dense_candidate,dense_candidate,19.00153246266157,52.05025444973804,25.497294085687564,20,100,80,0.8099846753733844,TRUE,TRUE,evaluated,3372.03013273899,838.5640867675565,53.834531006072055,1787.5763030952658,0.24868226372770233,0.06419846956908204,0.5301187215795359,macro_link_open_to_no_data
C18,C5,13,6,dense_candidate,dense_candidate,24.371934607615493,59.15319185133522,30.91262203204655,20,100,80,0.756280653923845,TRUE,TRUE,evaluated,3656.9625726682134,1333.831754009482,354.69457654922553,1624.1996922346093,0.3647376005372361,0.2659215268215185,0.44413899785951366,macro_link_candidate
C10,C14,7,4,dense_candidate,intermediate_candidate,45.76463209527171,59.98912938451121,52.26096001560362,20,100,80,0.5423536790472829,TRUE,TRUE,evaluated,3851.0897693127627,3108.4115599628076,2086.092894910021,548.8557241276253,0.8071511562083145,0.6711121917636227,0.1425195871831287,macro_link_with_possible_internal_void_or_plaza
C1,C18,110,13,dense_candidate,dense_candidate,7.4781398371006755,63.29792836027644,14.006861095517301,20,100,80,0.9252186016289933,TRUE,TRUE,evaluated,3750.3918268958805,890.979888237478,70.31546513900888,1719.5294984621241,0.23756981386526835,0.07891925066693233,0.4584932929222337,macro_link_candidate
C12,C13,5,5,dense_candidate,dense_candidate,42.05835721609074,67.4384458105133,48.55307167539533,20,100,80,0.5794164278390925,TRUE,TRUE,evaluated,3996.903239145875,3935.7938571443874,2721.852520159347,13.704301901239205,0.9847108177643684,0.6915637909283656,0.003428729964493153,macro_link_with_possible_internal_void_or_plaza
C10,C12,7,5,dense_candidate,dense_candidate,46.70844948140861,69.90004905349974,53.20470494388344,20,100,80,0.5329155051859139,TRUE,TRUE,evaluated,4288.67515699286,3600.494891834714,2583.012242442521,497.6320490338179,0.8395354649241643,0.7174047790764364,0.1160339803825917,macro_link_with_possible_internal_void_or_plaza
C1,C5,110,6,dense_candidate,dense_candidate,1.29131026262842,71.66945451555397,10.721950112708688,20,100,80,0.9870868973737158,TRUE,TRUE,evaluated,4000.181204947876,1284.4915551021058,398.0288588096766,1337.9993082415367,0.3211083421704251,0.30987269416344027,0.3344846744908826,macro_link_candidate
C2,C7,17,10,dense_candidate,dense_candidate,46.56260293970716,81.84941593650689,53.05855426316079,20,100,80,0.5343739706029285,TRUE,TRUE,evaluated,4528.005284924089,988.2089444714866,265.9497135439741,2560.39224083272,0.21824377011257257,0.2691229572772276,0.5654569903788538,macro_link_open_to_no_data
C11,C14,7,4,dense_candidate,intermediate_candidate,54.15050882206629,83.33984656894926,60.646951125941094,20,100,80,0.4584949117793371,TRUE,TRUE,evaluated,4519.63198599848,4233.775549576241,2746.0867042543246,194.1980486119637,0.9367522760021606,0.6486141440656155,0.042967668432645933,macro_link_with_possible_internal_void_or_plaza
C18,C4,13,11,dense_candidate,dense_candidate,59.17211535175624,85.70331524499571,65.66729273862043,20,100,80,0.4082788464824376,TRUE,TRUE,evaluated,4602.523420934682,1128.0214576237427,142.47669392630874,2182.1413357534484,0.2450876083526075,0.12630672312426222,0.4741184641946479,macro_link_candidate
C15,C16,9,7,dense_candidate,dense_candidate,65.11373134920788,87.46712816704212,71.92952707224231,20,100,80,0.3488626865079212,TRUE,TRUE,evaluated,4730.888897755765,1679.3616753448996,1129.4894589380233,1742.9647376464923,0.35497804147156226,0.6725707008325374,0.3684222511488947,macro_link_with_possible_internal_void_or_plaza
C1,C3,110,22,dense_candidate,dense_candidate,25.385673370895894,92.01134034508087,41.12823433587002,20,100,80,0.746143266291041,TRUE,TRUE,evaluated,4971.546361197019,1125.9711797610635,208.9096908803448,2235.1001416605677,0.2264830895572618,0.18553733402366165,0.4495784569375742,macro_link_candidate
C10,C11,7,7,dense_candidate,dense_candidate,70.57572500243026,98.56647595029094,77.07192456448662,20,100,80,0.29424274997569744,TRUE,TRUE,evaluated,5375.6575700398535,4300.320190632776,2871.7995251687544,729.6170223673199,0.7999617041456929,0.66781062754915,0.13572609729341648,macro_link_with_possible_internal_void_or_plaza
C11,C13,7,5,dense_candidate,dense_candidate,71.65548327242163,108.36985754274973,78.15096535538119,20,100,80,0.2834451672757836,TRUE,TRUE,evaluated,5490.265467618825,5459.4270730978205,3732.062838836388,1.2824198550349593,0.9943830777030934,0.6835997237194925,2.335806642863766e-4,macro_link_with_possible_internal_void_or_plaza
C3,C5,22,6,dense_candidate,dense_candidate,76.92704843901302,111.16446216724013,83.42369719765341,20,100,80,0.23072951560986976,TRUE,TRUE,evaluated,5769.099109091563,1802.0239122609914,411.38606701992023,2689.0952513265424,0.31235793980747695,0.22829112545113564,0.46612048094108466,macro_link_candidate
C4,C6,11,4,dense_candidate,intermediate_candidate,79.59747928796216,113.19709415278898,86.09355026961494,20,100,80,0.20402520712037842,TRUE,TRUE,evaluated,5600.215475192759,997.4071332862882,333.7474618327398,3778.809567755221,0.17810156371741348,0.33461507412033265,0.6747614595356538,macro_link_open_to_no_data
C1,C4,110,11,dense_candidate,dense_candidate,39.66338095444981,115.37055410614187,46.16117101101612,20,100,80,0.6033661904555019,TRUE,TRUE,evaluated,5727.019789741142,1308.5862545685795,343.00256138483775,2396.452799041177,0.2284934054030442,0.26211689155937246,0.4184467466541609,macro_link_candidate
C3,C6,22,4,dense_candidate,intermediate_candidate,104.1660266736528,134.9267173415905,110.66145421506107,20,100,80,0,FALSE,FALSE,not_evaluated_not_link_candidate,NA,NA,NA,NA,NA,NA,NA,not_linked_after_detailed_distance_check
C4,C5,11,6,dense_candidate,dense_candidate,112.4640084480784,144.51179431895363,118.95960200979897,20,100,80,0,FALSE,FALSE,not_evaluated_not_link_candidate,NA,NA,NA,NA,NA,NA,NA,not_linked_after_detailed_distance_check
C1,C6,110,4,dense_candidate,intermediate_candidate,80.20676402079405,151.201921946554,86.75642647437543,20,100,80,0.19793235979205948,TRUE,TRUE,evaluated,7362.505903132245,2219.6259290477306,418.6621979566648,3904.8122459091974,0.30147696426340803,0.18861835793037446,0.5303645657177627,macro_link_open_to_no_data
C18,C6,13,4,dense_candidate,intermediate_candidate,149.25383025552193,168.8402203590648,155.74843968504388,20,100,80,0,FALSE,FALSE,not_evaluated_not_link_candidate,NA,NA,NA,NA,NA,NA,NA,not_linked_after_detailed_distance_check
C5,C6,6,4,dense_candidate,intermediate_candidate,191.21405807253132,214.6148101880379,197.76651856081628,20,100,80,0,FALSE,FALSE,not_evaluated_not_link_candidate,NA,NA,NA,NA,NA,NA,NA,not_linked_after_detailed_distance_check
C13,C14,5,4,dense_candidate,intermediate_candidate,13.13272868453742,36.41529698471164,21.072931763738502,20,100,80,0.7818054418391632,TRUE,TRUE,evaluated,2787.176212923252,2570.563599346632,1639.6940562684324,153.08234601965842,0.9222824116493762,0.6378733662474635,0.05492381332398868,macro_link_with_possible_internal_void_or_plaza
C12,C14,5,4,dense_candidate,intermediate_candidate,25.51592120289951,38.9983238155221,32.48316468015533,20,100,80,0.6703567091739043,TRUE,TRUE,evaluated,2898.898187896237,2640.439965545886,1758.8011737194965,192.4757351356011,0.9108426010166584,0.6661015575697367,0.06639616939264877,macro_link_with_possible_internal_void_or_plaza
