eps_m,min_pts,n_points,n_clusters,n_clustered_points,n_noise_points,clustered_point_ratio,noise_point_ratio,dense_cluster_min_n,dense_cluster_count,dense_clustered_points,dense_clustered_point_ratio,largest_cluster_n,largest_cluster_point_ratio,cluster_size_median,dense_nn_median,dense_nn_q75,dense_nn_q90,check_dense_detected,check_dense_ratio,check_noise_not_excessive,check_overmerge_not_severe,check_d_adj_available,criteria_score,interpretation
10,3,374,30,256,118,0.6844919786096256,0.3155080213903743,5,16,209,0.5588235294117647,43,0.11497326203208556,5,3.5402143480154806,5.31926766488974,7.337496561150367,TRUE,TRUE,TRUE,TRUE,TRUE,5,候補として有望。QGISで密集・孤立の分離を確認
15,3,374,23,302,72,0.8074866310160428,0.1925133689839572,5,16,280,0.7486631016042781,133,0.35561497326203206,7,3.807400420163595,6.233850928524999,9.605277621271302,TRUE,TRUE,TRUE,TRUE,TRUE,5,候補として有望。QGISで密集・孤立の分離を確認
20,3,374,15,318,56,0.8502673796791443,0.1497326203208556,5,11,305,0.8155080213903744,136,0.36363636363636365,10,4.022910881403259,6.558254570525488,9.74757752878145,TRUE,TRUE,TRUE,TRUE,TRUE,5,候補として有望。QGISで密集・孤立の分離を確認
30,3,374,11,337,37,0.9010695187165776,0.09893048128342247,5,9,331,0.8850267379679144,189,0.5053475935828877,10,4.251416316863911,7.093287433350403,11.054204839125209,TRUE,TRUE,TRUE,TRUE,TRUE,5,候補として有望。QGISで密集・孤立の分離を確認
35,3,374,11,341,33,0.9117647058823529,0.08823529411764706,5,8,332,0.8877005347593583,189,0.5053475935828877,10,4.272843394311819,7.142251535869084,11.942284578457244,TRUE,TRUE,TRUE,TRUE,TRUE,5,候補として有望。QGISで密集・孤立の分離を確認
40,3,374,12,347,27,0.9278074866310161,0.07219251336898395,5,8,335,0.8957219251336899,190,0.5080213903743316,8.5,4.294270471759727,7.365106778096411,12.256791083507384,TRUE,TRUE,TRUE,TRUE,TRUE,5,候補として有望。QGISで密集・孤立の分離を確認
10,4,374,19,217,157,0.5802139037433155,0.4197860962566845,5,14,197,0.5267379679144385,43,0.11497326203208556,7,3.3744099820238596,4.814065511831703,6.627827624943928,TRUE,TRUE,TRUE,TRUE,TRUE,5,候補として有望。QGISで密集・孤立の分離を確認
15,4,374,17,276,98,0.7379679144385026,0.2620320855614973,5,17,276,0.7379679144385026,127,0.339572192513369,7,3.807400420163595,6.203141564615095,9.626069744703427,TRUE,TRUE,TRUE,TRUE,TRUE,5,候補として有望。QGISで密集・孤立の分離を確認
20,4,374,13,305,69,0.8155080213903744,0.18449197860962566,5,11,297,0.7941176470588235,135,0.3609625668449198,12,3.9534182971258645,6.558254570525488,9.739884980639403,TRUE,TRUE,TRUE,TRUE,TRUE,5,候補として有望。QGISで密集・孤立の分離を確認
30,4,374,9,329,45,0.8796791443850267,0.12032085561497326,5,9,329,0.8796791443850267,189,0.5053475935828877,16,4.240005283385996,7.015002437509053,10.773015826312001,TRUE,TRUE,TRUE,TRUE,TRUE,5,候補として有望。QGISで密集・孤立の分離を確認
35,4,374,8,332,42,0.8877005347593583,0.11229946524064172,5,8,332,0.8877005347593583,189,0.5053475935828877,22,4.272843394311819,7.142251535869084,11.942284578457244,TRUE,TRUE,TRUE,TRUE,TRUE,5,候補として有望。QGISで密集・孤立の分離を確認
40,4,374,8,335,39,0.8957219251336899,0.10427807486631016,5,8,335,0.8957219251336899,190,0.5080213903743316,22,4.294270471759727,7.365106778096411,12.256791083507384,TRUE,TRUE,TRUE,TRUE,TRUE,5,候補として有望。QGISで密集・孤立の分離を確認
10,5,374,14,186,188,0.49732620320855614,0.5026737967914439,5,14,186,0.49732620320855614,43,0.11497326203208556,9,3.353043323849022,4.4521085458733225,6.150486194056789,TRUE,TRUE,TRUE,TRUE,TRUE,5,候補として有望。QGISで密集・孤立の分離を確認
15,5,374,16,263,111,0.7032085561497327,0.2967914438502674,5,16,263,0.7032085561497327,124,0.3315508021390374,7.5,3.6966028057285913,6.0455629206996875,9.594975800699157,TRUE,TRUE,TRUE,TRUE,TRUE,5,候補として有望。QGISで密集・孤立の分離を確認
20,5,374,11,293,81,0.7834224598930482,0.21657754010695188,5,11,293,0.7834224598930482,135,0.3609625668449198,17,3.9398995566102557,6.3846963655915445,9.724616448247932,TRUE,TRUE,TRUE,TRUE,TRUE,5,候補として有望。QGISで密集・孤立の分離を確認
30,5,374,9,328,46,0.8770053475935828,0.12299465240641712,5,9,328,0.8770053475935828,188,0.5026737967914439,16,4.23214660030054,7.015002437509053,10.715947876617134,TRUE,TRUE,TRUE,TRUE,TRUE,5,候補として有望。QGISで密集・孤立の分離を確認
35,5,374,8,331,43,0.8850267379679144,0.11497326203208556,5,8,331,0.8850267379679144,188,0.5026737967914439,22,4.251416316863911,7.093287433350403,11.054204839125209,TRUE,TRUE,TRUE,TRUE,TRUE,5,候補として有望。QGISで密集・孤立の分離を確認
40,5,374,8,335,39,0.8957219251336899,0.10427807486631016,5,8,335,0.8957219251336899,190,0.5080213903743316,22,4.294270471759727,7.365106778096411,12.256791083507384,TRUE,TRUE,TRUE,TRUE,TRUE,5,候補として有望。QGISで密集・孤立の分離を確認
50,3,374,12,349,25,0.9331550802139037,0.06684491978609626,5,8,337,0.9010695187165776,191,0.5106951871657754,8.5,4.3188652684694855,7.440241399728622,12.416244996559605,TRUE,FALSE,TRUE,TRUE,TRUE,4,候補として有望。QGISで密集・孤立の分離を確認
60,3,374,10,355,19,0.9491978609625669,0.05080213903743316,5,7,346,0.9251336898395722,191,0.5106951871657754,18,4.425001942687587,7.837861772758567,12.833832616583905,TRUE,FALSE,TRUE,TRUE,TRUE,4,候補として有望。QGISで密集・孤立の分離を確認
75,3,374,10,357,17,0.9545454545454546,0.045454545454545456,5,7,348,0.93048128342246,191,0.5106951871657754,18.5,4.4356634154312875,7.917359191029301,13.001536239406985,TRUE,FALSE,TRUE,TRUE,TRUE,4,候補として有望。QGISで密集・孤立の分離を確認
80,3,374,10,357,17,0.9545454545454546,0.045454545454545456,5,7,348,0.93048128342246,191,0.5106951871657754,18.5,4.4356634154312875,7.917359191029301,13.001536239406985,TRUE,FALSE,TRUE,TRUE,TRUE,4,候補として有望。QGISで密集・孤立の分離を確認
100,3,374,9,360,14,0.9625668449197861,0.0374331550802139,5,7,354,0.946524064171123,202,0.5401069518716578,26,4.473568951435527,8.148233543901927,13.54891420099528,TRUE,FALSE,TRUE,TRUE,TRUE,4,候補として有望。QGISで密集・孤立の分離を確認
50,4,374,8,337,37,0.9010695187165776,0.09893048128342247,5,8,337,0.9010695187165776,191,0.5106951871657754,22.5,4.3188652684694855,7.440241399728622,12.416244996559605,TRUE,FALSE,TRUE,TRUE,TRUE,4,候補として有望。QGISで密集・孤立の分離を確認
60,4,374,7,345,29,0.9224598930481284,0.07754010695187166,5,7,345,0.9224598930481284,191,0.5106951871657754,28,4.4212086536251105,7.7605400018741335,12.627107227275992,TRUE,FALSE,TRUE,TRUE,TRUE,4,候補として有望。QGISで密集・孤立の分離を確認
75,4,374,7,348,26,0.93048128342246,0.06951871657754011,5,7,348,0.93048128342246,191,0.5106951871657754,29,4.4356634154312875,7.917359191029301,13.001536239406985,TRUE,FALSE,TRUE,TRUE,TRUE,4,候補として有望。QGISで密集・孤立の分離を確認
80,4,374,7,348,26,0.93048128342246,0.06951871657754011,5,7,348,0.93048128342246,191,0.5106951871657754,29,4.4356634154312875,7.917359191029301,13.001536239406985,TRUE,FALSE,TRUE,TRUE,TRUE,4,候補として有望。QGISで密集・孤立の分離を確認
