eps_m,min_pts,n_points,n_clusters,noise_count,clustered_count,noise_ratio,clustered_ratio,n_dense_clusters,n_intermediate_clusters,n_small_clusters,max_cluster_size,median_cluster_size,core_point_count,core_point_ratio,score_clustered_ratio,score_noise_ratio,score_dense_presence,score_not_overmerged,parameter_score,interpretation
14,4,374,18,113,261,0.30213903743315507,0.6978609625668449,16,2,0,110,7,0,0,0.997860962566845,0.9978609625668449,1,1,0.9988235294117648,候補として検討可能
14,5,374,16,136,238,0.36363636363636365,0.6363636363636364,16,0,0,71,7.5,0,0,0.9363636363636364,0.9363636363636363,1,1,0.965,候補として検討可能
9,3,374,29,142,232,0.37967914438502676,0.6203208556149733,15,14,0,41,5,0,0,0.9203208556149733,0.9203208556149732,1,1,0.9561764705882353,候補として検討可能
14,3,374,25,81,293,0.21657754010695188,0.7834224598930482,16,9,0,116,6,0,0,0.9165775401069518,0.9165775401069519,1,1,0.9541176470588236,候補として検討可能
8,3,374,27,160,214,0.42780748663101603,0.5721925133689839,15,12,0,40,5,0,0,0.872192513368984,0.872192513368984,1,1,0.9297058823529413,候補として検討可能
15,5,374,16,111,263,0.2967914438502674,0.7032085561497327,16,0,0,124,7.5,0,0,0.9967914438502673,0.9967914438502674,1,0.5,0.9232352941176469,最大クラスタが大きく、過結合の可能性
15,4,374,17,98,276,0.2620320855614973,0.7379679144385026,17,0,0,127,7,0,0,0.9620320855614973,0.9620320855614973,1,0.5,0.9041176470588235,最大クラスタが大きく、過結合の可能性
9,4,374,19,178,196,0.47593582887700536,0.5240641711229946,15,4,0,41,6,0,0,0.8240641711229947,0.8240641711229946,1,1,0.903235294117647,候補として検討可能
18,5,374,14,89,285,0.23796791443850268,0.7620320855614974,14,0,0,134,10.5,0,0,0.9379679144385026,0.9379679144385027,1,0.5,0.8908823529411765,最大クラスタが大きく、過結合の可能性
20,5,374,11,81,293,0.21657754010695188,0.7834224598930482,11,0,0,135,17,0,0,0.9165775401069518,0.9165775401069519,1,0.5,0.8791176470588236,最大クラスタが大きく、過結合の可能性
18,4,374,14,80,294,0.21390374331550802,0.786096256684492,13,1,0,134,10.5,0,0,0.9139037433155079,0.913903743315508,1,0.5,0.8776470588235292,最大クラスタが大きく、過結合の可能性
8,4,374,17,198,176,0.5294117647058824,0.47058823529411764,14,3,0,40,8,0,0,0.7705882352941177,0.7705882352941176,1,1,0.8738235294117648,候補として検討可能
15,3,374,23,72,302,0.1925133689839572,0.8074866310160428,16,7,0,133,7,0,0,0.8925133689839572,0.8925133689839573,1,0.5,0.8658823529411763,最大クラスタが大きく、過結合の可能性
9,5,374,14,204,170,0.5454545454545454,0.45454545454545453,14,0,0,41,9.5,0,0,0.7545454545454546,0.7545454545454546,1,1,0.8650000000000001,候補として検討可能
20,4,374,13,69,305,0.18449197860962566,0.8155080213903744,11,2,0,135,12,0,0,0.8844919786096256,0.8844919786096257,1,0.5,0.861470588235294,最大クラスタが大きく、過結合の可能性
25,5,374,9,65,309,0.17379679144385027,0.8262032085561497,9,0,0,175,13,0,0,0.8737967914438503,0.8737967914438503,1,0.5,0.8555882352941175,最大クラスタが大きく、過結合の可能性
18,3,374,19,64,310,0.1711229946524064,0.8288770053475936,13,6,0,134,7,0,0,0.8711229946524064,0.8711229946524064,1,0.5,0.8541176470588234,最大クラスタが大きく、過結合の可能性
8,5,374,17,216,158,0.5775401069518716,0.42245989304812837,17,0,0,18,8,0,0,0.7224598930481284,0.7224598930481283,1,1,0.8473529411764705,候補として検討可能
20,3,374,15,56,318,0.1497326203208556,0.8502673796791443,11,4,0,136,10,0,0,0.8497326203208556,0.8497326203208556,1,0.5,0.8423529411764705,最大クラスタが大きく、過結合の可能性
25,4,374,11,55,319,0.14705882352941177,0.8529411764705882,9,2,0,175,10,0,0,0.8470588235294118,0.8470588235294118,1,0.5,0.8408823529411764,最大クラスタが大きく、過結合の可能性
25,3,374,13,47,327,0.12566844919786097,0.8743315508021391,9,4,0,176,8,0,0,0.8256684491978609,0.825668449197861,1,0.5,0.8291176470588235,最大クラスタが大きく、過結合の可能性
30,5,374,9,46,328,0.12299465240641712,0.8770053475935828,9,0,0,188,16,0,0,0.8229946524064171,0.8229946524064171,1,0.5,0.8276470588235294,最大クラスタが大きく、過結合の可能性
30,4,374,9,45,329,0.12032085561497326,0.8796791443850267,9,0,0,189,16,0,0,0.8203208556149733,0.8203208556149733,1,0.5,0.8261764705882353,最大クラスタが大きく、過結合の可能性
5,3,374,30,232,142,0.6203208556149733,0.37967914438502676,12,18,0,14,4,0,0,0.6796791443850267,0.6796791443850267,1,1,0.8238235294117647,ノイズが多すぎ、密集範囲を分断しすぎる可能性
35,5,374,8,43,331,0.11497326203208556,0.8850267379679144,8,0,0,188,22,0,0,0.8149732620320855,0.8149732620320855,1,0.5,0.8232352941176471,最大クラスタが大きく、過結合の可能性
35,4,374,8,42,332,0.11229946524064172,0.8877005347593583,8,0,0,189,22,0,0,0.8122994652406417,0.8122994652406417,1,0.5,0.8217647058823528,最大クラスタが大きく、過結合の可能性
40,4,374,8,39,335,0.10427807486631016,0.8957219251336899,8,0,0,190,22,0,0,0.8042780748663101,0.8042780748663102,1,0.5,0.8173529411764705,最大クラスタが大きく、過結合の可能性
40,5,374,8,39,335,0.10427807486631016,0.8957219251336899,8,0,0,190,22,0,0,0.8042780748663101,0.8042780748663102,1,0.5,0.8173529411764705,最大クラスタが大きく、過結合の可能性
45,4,374,8,38,336,0.10160427807486631,0.8983957219251337,8,0,0,190,22.5,0,0,0.8016042780748662,0.8016042780748663,1,0.5,0.8158823529411764,最大クラスタが大きく、過結合の可能性
45,5,374,8,38,336,0.10160427807486631,0.8983957219251337,8,0,0,190,22.5,0,0,0.8016042780748662,0.8016042780748663,1,0.5,0.8158823529411764,最大クラスタが大きく、過結合の可能性
30,3,374,11,37,337,0.09893048128342247,0.9010695187165776,9,2,0,189,10,0,0,0.7989304812834224,0.7989304812834225,1,0.5,0.8144117647058822,最大クラスタが大きく、過結合の可能性
50,4,374,8,37,337,0.09893048128342247,0.9010695187165776,8,0,0,191,22.5,0,0,0.7989304812834224,0.7989304812834225,1,0.5,0.8144117647058822,最大クラスタが大きく、過結合の可能性
50,5,374,8,37,337,0.09893048128342247,0.9010695187165776,8,0,0,191,22.5,0,0,0.7989304812834224,0.7989304812834225,1,0.5,0.8144117647058822,最大クラスタが大きく、過結合の可能性
35,3,374,11,33,341,0.08823529411764706,0.9117647058823529,8,3,0,189,10,0,0,0.788235294117647,0.7882352941176471,1,0.5,0.8085294117647058,最大クラスタが大きく、過結合の可能性
60,5,374,7,33,341,0.08823529411764706,0.9117647058823529,7,0,0,191,28,0,0,0.788235294117647,0.7882352941176471,1,0.5,0.8085294117647058,最大クラスタが大きく、過結合の可能性
60,4,374,7,29,345,0.07754010695187166,0.9224598930481284,7,0,0,191,28,0,0,0.7775401069518716,0.7775401069518717,1,0.5,0.8026470588235293,最大クラスタが大きく、過結合の可能性
