layer,n,n_positive,min,q25,median,q75,q95,max
source_seed_strength,219264,1687,0,0,0,0,0,1
open_source_strength,219264,855,0,0,0,0,0,1
no_data_contact,219264,116863,0,0,1,1,1,1
supported_density_score,219264,2244,0,0,0,0,0,1
isolated_shuseki_signal,219264,3572,0,0,0,0,0,1
macro_internal_context,219264,2132,0,0,0,0,0,1
internal_macro_absence,219264,1088,0,0,0,0,0,1
external_absence_barrier,219264,3120,0,0,0,0,0,1
external_absence_evidence,219264,18323,0,0,0,0,0.6641734026669082,1
external_absence_continuity_score,219264,25273,0,0,0,0,0.07614213197969544,1
absence_barrier_shadow,219264,15752,0,0,0,0,0.02654867256637168,0.911504424778761
absence_barrier_strength,219264,25661,0,0,0,0,0.35427852608539845,1
artificial_modified_binary,219264,1489,0,0,0,0,0,1
artificial_modified_ratio,219264,1552,0,0,0,0,0,1
modified_unavailable_no_data,219264,1347,0,0,0,0,0,1
prediction_target_binary,219264,110161,0,0,1,1,1,1
directional_allowed,219264,112761,0,0,1,1,1,1
directional_normalized_cost,3827,2972,0,0.08595345617604475,0.37871694858096216,0.6824282069341667,0.9363254804588466,0.9993067530174927
directional_source_strength,3827,3827,0.05000000074505806,1,1,1,1,1
directional_source_range_m,3827,3827,8.870546379434748,120.22146124542701,120.22146124542701,120.22146124542701,120.22146124542701,120.22146124542701
cluster_continuity_score_all_cells,3827,3827,4.805913787554468e-7,0.08689402788877487,0.3410699033623006,0.7627041989376224,1,1
cluster_continuity_score_no_data_only,2570,2570,4.805913787554468e-7,0.061198929312886244,0.24702244997024536,0.6674314459483947,1,1
dense_micro_source_seed_strength,219264,882,0,0,0,0,0,0.9648234248161316
dense_micro_no_data_contact,219264,116863,0,0,1,1,1,1
dense_micro_open_source_strength,219264,413,0,0,0,0,0,0.9648234248161316
dense_micro_directional_allowed,219264,112727,0,0,1,1,1,1
dense_micro_directional_normalized_cost,1733,1320,0,0.11851382434774546,0.41838834973503825,0.7072968429399856,0.9475947083005105,0.9983854532079286
dense_micro_directional_source_strength,1733,1733,0.4674517810344696,0.6470784544944763,0.8686612844467163,0.9648234248161316,0.9648234248161316,0.9648234248161316
dense_micro_directional_source_range_m,1733,1733,27.024790689115573,43.064172661029836,69.97428488901016,84.42427896571749,84.42427896571749,84.42427896571749
dense_micro_cluster_continuity_score_all_cells,1733,1733,2.5150644073918955e-6,0.07245692630664996,0.28960113178143587,0.6376541008749178,0.9648234248161316,0.9648234248161316
dense_micro_cluster_continuity_score_prediction_target,948,948,4.436949232961364e-6,0.05921439052704748,0.23667115333304545,0.5618394781310807,0.8686612844467163,0.9648234248161316
dense_micro_cluster_continuity_score_no_data_only,948,948,4.436949232961364e-6,0.05921439052704748,0.23667115333304545,0.5618394781310807,0.8686612844467163,0.9648234248161316
dispersed_micro_source_seed_strength,219264,561,0,0,0,0,0,0.550000011920929
dispersed_micro_no_data_contact,219264,116863,0,0,1,1,1,1
dispersed_micro_open_source_strength,219264,361,0,0,0,0,0,0.550000011920929
dispersed_micro_directional_allowed,219264,112683,0,0,1,1,1,1
dispersed_micro_directional_normalized_cost,724,436,0,0,0.42213778413260405,0.7708030345003135,0.9414854295536064,0.99741120625977
dispersed_micro_directional_source_strength,724,724,0.05,0.26249998807907104,0.4375,0.5,0.5249999761581421,0.550000011920929
dispersed_micro_directional_source_range_m,724,724,11.088182950257192,23.63415756878126,41.33546476716389,49.30339441893886,52.7466732504805,56.34029891165825
dispersed_micro_cluster_continuity_score_all_cells,724,724,2.562074351845561e-6,0.022901923475808994,0.09424255274424936,0.3177433592947641,0.5,0.550000011920929
dispersed_micro_cluster_continuity_score_prediction_target,589,589,2.562074351845561e-6,0.020344914405088847,0.07818524843562441,0.26249998807907104,0.5,0.550000011920929
dispersed_micro_cluster_continuity_score_no_data_only,589,589,2.562074351845561e-6,0.020344914405088847,0.07818524843562441,0.26249998807907104,0.5,0.550000011920929
shuseki_two_component_score_no_data_only,110161,1451,0,0,0,0,0,0.9648234248161316
shuseki_two_component_dominant_component,1451,1451,1,1,1,2,2,2
