group_id,n_shuseki,interim_group_type,mean_neighbor_count,micro_n_score,micro_neighbor_score,micro_group_type_weight,micro_source_strength,micro_source_seed_value
C10,73,dense_candidate,12.027397260273972,1,0.882744753047631,1,0.9648234259142893,0.9648234259142893
C13,32,dense_candidate,13.625,0.8123732996016326,1,1,0.8686613097211429,0.8686613097211429
C6,16,dense_candidate,11,0.6582645203321088,0.8073394495412844,1,0.7029869990948614,0.7029869990948614
C1,20,dense_candidate,6.9,0.7073597568332597,0.5064220183486239,1,0.6470784352878689,0.6470784352878689
C2,15,dense_candidate,6.266666666666667,0.6441790870257778,0.4599388379204893,1,0.5889070122941912,0.5889070122941912
C12,10,dense_candidate,8,0.5571233754304706,0.5871559633027523,1,0.5661331517921551,0.5661331517921551
C11,9,dense_candidate,4.222222222222222,0.5349791518324556,0.30988786952089703,1,0.46745176713898795,0.46745176713898795
C14,7,intermediate_candidate,6,0.48313431526933326,0.44036697247706424,0.65,0.30569767308057416,0.30569767308057416
C7,7,intermediate_candidate,2.857142857142857,0.48313431526933326,0.20969855832241155,0.65,0.2607173323204169,0.2607173323204169
C4,5,intermediate_candidate,4,0.41629469592760643,0.29357798165137616,0.65,0.2466617930690793,0.2466617930690793
C5,5,intermediate_candidate,4,0.41629469592760643,0.29357798165137616,0.65,0.2466617930690793,0.2466617930690793
C15,5,intermediate_candidate,2.4,0.41629469592760643,0.17614678899082567,0.65,0.2237627105002719,0.2237627105002719
C3,4,intermediate_candidate,3,0.3739343800760111,0.22018348623853212,0.65,0.21307592275109882,0.21307592275109882
C8,4,intermediate_candidate,3,0.3739343800760111,0.22018348623853212,0.65,0.21307592275109882,0.21307592275109882
C16,4,intermediate_candidate,2,0.3739343800760111,0.14678899082568808,0.65,0.19876399614559423,0.19876399614559423
C9,4,intermediate_candidate,2,0.3739343800760111,0.14678899082568808,0.65,0.19876399614559423,0.19876399614559423
N10,1,small_or_isolated_candidate,0,0.16104477175644444,0,0.25,0.028182835057377776,0.05
N104,1,small_or_isolated_candidate,2,0.16104477175644444,0.14678899082568808,0.25,0.03919200936930438,0.05
N107,1,small_or_isolated_candidate,1,0.16104477175644444,0.07339449541284404,0.25,0.033687422213341076,0.05
N11,1,small_or_isolated_candidate,0,0.16104477175644444,0,0.25,0.028182835057377776,0.05
N110,1,small_or_isolated_candidate,0,0.16104477175644444,0,0.25,0.028182835057377776,0.05
N111,1,small_or_isolated_candidate,1,0.16104477175644444,0.07339449541284404,0.25,0.033687422213341076,0.05
N112,1,small_or_isolated_candidate,1,0.16104477175644444,0.07339449541284404,0.25,0.033687422213341076,0.05
N113,1,small_or_isolated_candidate,0,0.16104477175644444,0,0.25,0.028182835057377776,0.05
N114,1,small_or_isolated_candidate,0,0.16104477175644444,0,0.25,0.028182835057377776,0.05
N117,1,small_or_isolated_candidate,2,0.16104477175644444,0.14678899082568808,0.25,0.03919200936930438,0.05
N118,1,small_or_isolated_candidate,1,0.16104477175644444,0.07339449541284404,0.25,0.033687422213341076,0.05
N119,1,small_or_isolated_candidate,0,0.16104477175644444,0,0.25,0.028182835057377776,0.05
N120,1,small_or_isolated_candidate,0,0.16104477175644444,0,0.25,0.028182835057377776,0.05
