group_id,n_shuseki,interim_group_type,shuseki_component_type,mean_neighbor_count,context_group_n,context_shuseki_n,dense_n_score,dense_neighbor_score,dense_source_strength,dense_source_seed_value,dispersed_context_group_score,dispersed_context_shuseki_score,dispersed_source_strength,dispersed_source_seed_value
C10,73,dense_candidate,dense,12.027397260273972,0,0,1,0.882744753047631,0.9648234259142893,0.9648234259142893,0,0,0,0
C13,32,dense_candidate,dense,13.625,1,10,0.8123732996016326,1,0.8686613097211429,0.8686613097211429,0.125,0.3125,0.2,0
C1,20,dense_candidate,dense,6.9,4,4,0.7073597568332597,0.5064220183486239,0.6470784352878689,0.6470784352878689,0.5,0.125,0.35,0
C6,16,dense_candidate,dense,11,1,1,0.6582645203321088,0.8073394495412844,0.7029869990948614,0.7029869990948614,0.125,0.03125,0.0875,0
C2,15,dense_candidate,dense,6.266666666666667,1,1,0.6441790870257778,0.4599388379204893,0.5889070122941912,0.5889070122941912,0.125,0.03125,0.0875,0
C12,10,dense_candidate,dense,8,1,32,0.5571233754304706,0.5871559633027523,0.5661331517921551,0.5661331517921551,0.125,1,0.47500000000000003,0
C11,9,dense_candidate,dense,4.222222222222222,0,0,0.5349791518324556,0.30988786952089703,0.46745176713898795,0.46745176713898795,0,0,0,0
C14,7,intermediate_candidate,dispersed,6,2,2,0.48313431526933326,0.44036697247706424,0.47030411243165254,0,0.25,0.0625,0.175,0.175
C7,7,intermediate_candidate,dispersed,2.857142857142857,3,3,0.48313431526933326,0.20969855832241155,0.4011035881852567,0,0.375,0.09375,0.26249999999999996,0.26249999999999996
C15,5,intermediate_candidate,dispersed,2.4,3,3,0.41629469592760643,0.17614678899082567,0.34425032384657217,0,0.375,0.09375,0.26249999999999996,0.26249999999999996
C4,5,intermediate_candidate,dispersed,4,2,2,0.41629469592760643,0.29357798165137616,0.37947968164473733,0,0.25,0.0625,0.175,0.175
C5,5,intermediate_candidate,dispersed,4,3,3,0.41629469592760643,0.29357798165137616,0.37947968164473733,0,0.375,0.09375,0.26249999999999996,0.26249999999999996
C16,4,intermediate_candidate,dispersed,2,3,3,0.3739343800760111,0.14678899082568808,0.3057907633009142,0,0.375,0.09375,0.26249999999999996,0.26249999999999996
C3,4,intermediate_candidate,dispersed,3,0,0,0.3739343800760111,0.22018348623853212,0.3278091119247674,0,0,0,0,0.037500000000000006
C8,4,intermediate_candidate,dispersed,3,6,6,0.3739343800760111,0.22018348623853212,0.3278091119247674,0,0.75,0.1875,0.5249999999999999,0.5249999999999999
C9,4,intermediate_candidate,dispersed,2,0,0,0.3739343800760111,0.14678899082568808,0.3057907633009142,0,0,0,0,0.037500000000000006
N10,1,small_or_isolated_candidate,dispersed,0,4,8,0.16104477175644444,0,0.1127313402295111,0,0.5,0.25,0.4,0.4
N104,1,small_or_isolated_candidate,dispersed,2,4,13,0.16104477175644444,0.14678899082568808,0.15676803747721751,0,0.5,0.40625,0.4625,0.4625
N107,1,small_or_isolated_candidate,dispersed,1,4,13,0.16104477175644444,0.07339449541284404,0.1347496888533643,0,0.5,0.40625,0.4625,0.4625
N11,1,small_or_isolated_candidate,dispersed,0,3,22,0.16104477175644444,0,0.1127313402295111,0,0.375,0.6875,0.5,0.5
N110,1,small_or_isolated_candidate,dispersed,0,3,18,0.16104477175644444,0,0.1127313402295111,0,0.375,0.5625,0.44999999999999996,0.44999999999999996
N117,1,small_or_isolated_candidate,dispersed,2,7,7,0.16104477175644444,0.14678899082568808,0.15676803747721751,0,0.875,0.21875,0.55,0.55
N118,1,small_or_isolated_candidate,dispersed,1,7,7,0.16104477175644444,0.07339449541284404,0.1347496888533643,0,0.875,0.21875,0.55,0.55
N121,1,small_or_isolated_candidate,dispersed,2,5,5,0.16104477175644444,0.14678899082568808,0.15676803747721751,0,0.625,0.15625,0.4375,0.4375
N122,1,small_or_isolated_candidate,dispersed,2,4,4,0.16104477175644444,0.14678899082568808,0.15676803747721751,0,0.5,0.125,0.35,0.35
N123,1,small_or_isolated_candidate,dispersed,2,5,5,0.16104477175644444,0.14678899082568808,0.15676803747721751,0,0.625,0.15625,0.4375,0.4375
N124,1,small_or_isolated_candidate,dispersed,2,5,5,0.16104477175644444,0.14678899082568808,0.15676803747721751,0,0.625,0.15625,0.4375,0.4375
N125,1,small_or_isolated_candidate,dispersed,2,5,5,0.16104477175644444,0.14678899082568808,0.15676803747721751,0,0.625,0.15625,0.4375,0.4375
N126,1,small_or_isolated_candidate,dispersed,0,5,5,0.16104477175644444,0,0.1127313402295111,0,0.625,0.15625,0.4375,0.4375
N129,1,small_or_isolated_candidate,dispersed,1,5,5,0.16104477175644444,0.07339449541284404,0.1347496888533643,0,0.625,0.15625,0.4375,0.4375
N133,1,small_or_isolated_candidate,dispersed,0,3,3,0.16104477175644444,0,0.1127313402295111,0,0.375,0.09375,0.26249999999999996,0.26249999999999996
N134,1,small_or_isolated_candidate,dispersed,2,6,6,0.16104477175644444,0.14678899082568808,0.15676803747721751,0,0.75,0.1875,0.5249999999999999,0.5249999999999999
N136,1,small_or_isolated_candidate,dispersed,0,5,5,0.16104477175644444,0,0.1127313402295111,0,0.625,0.15625,0.4375,0.4375
N143,1,small_or_isolated_candidate,dispersed,1,3,3,0.16104477175644444,0.07339449541284404,0.1347496888533643,0,0.375,0.09375,0.26249999999999996,0.26249999999999996
N144,1,small_or_isolated_candidate,dispersed,1,3,3,0.16104477175644444,0.07339449541284404,0.1347496888533643,0,0.375,0.09375,0.26249999999999996,0.26249999999999996
N145,1,small_or_isolated_candidate,dispersed,0,4,8,0.16104477175644444,0,0.1127313402295111,0,0.5,0.25,0.4,0.4
N146,1,small_or_isolated_candidate,dispersed,0,3,3,0.16104477175644444,0,0.1127313402295111,0,0.375,0.09375,0.26249999999999996,0.26249999999999996
N147,1,small_or_isolated_candidate,dispersed,0,4,4,0.16104477175644444,0,0.1127313402295111,0,0.5,0.125,0.35,0.35
N148,1,small_or_isolated_candidate,dispersed,0,4,4,0.16104477175644444,0,0.1127313402295111,0,0.5,0.125,0.35,0.35
N149,1,small_or_isolated_candidate,dispersed,0,5,5,0.16104477175644444,0,0.1127313402295111,0,0.625,0.15625,0.4375,0.4375
N150,1,small_or_isolated_candidate,dispersed,0,5,5,0.16104477175644444,0,0.1127313402295111,0,0.625,0.15625,0.4375,0.4375
N152,1,small_or_isolated_candidate,dispersed,2,3,3,0.16104477175644444,0.14678899082568808,0.15676803747721751,0,0.375,0.09375,0.26249999999999996,0.26249999999999996
N157,1,small_or_isolated_candidate,dispersed,2,5,5,0.16104477175644444,0.14678899082568808,0.15676803747721751,0,0.625,0.15625,0.4375,0.4375
N17,1,small_or_isolated_candidate,dispersed,1,3,22,0.16104477175644444,0.07339449541284404,0.1347496888533643,0,0.375,0.6875,0.5,0.5
