group_id_1,group_id_2,n_shuseki_1,n_shuseki_2,interim_group_type_1,interim_group_type_2,boundary_distance_m,centroid_distance_m,nearest_shuseki_between_groups_m,macro_corridor_width_m,macro_link_max_boundary_distance_m,macro_nearest_shuseki_link_m,macro_link_score,macro_link_candidate,corridor_context_evaluated,corridor_context_note,context_area_m2,surveyed_area_m2,absence_area_m2,no_data_area_m2,surveyed_ratio,absence_ratio_in_surveyed,no_data_ratio,pair_interpretation
C12,C13,10,32,dense_candidate,dense_candidate,28.450622117695357,98.9589832740721,46.820932253621564,26.71588027676156,106.86352110704624,80.14764083028467,0.7337667538654646,TRUE,TRUE,evaluated,7718.734131087433,4203.111210169547,2876.2433120157816,2366.293394525344,0.5445337459210301,0.6843129215940394,0.3065649566805296,macro_link_with_possible_internal_void_or_plaza
C6,C7,16,7,dense_candidate,intermediate_candidate,33.211888078796235,117.50686248703786,51.205199165619725,26.71588027676156,106.86352110704624,80.14764083028467,0.6892121115349777,TRUE,TRUE,evaluated,8455.982842647005,5454.903224551105,4315.432951769182,2367.684980285364,0.6450939324332331,0.7911108179420191,0.28000115709130263,macro_link_with_possible_internal_void_or_plaza
C11,C14,9,7,dense_candidate,intermediate_candidate,77.98692240308242,128.14461870710727,98.71622480329603,26.71588027676156,106.86352110704624,80.14764083028467,0.27021942010536837,TRUE,TRUE,evaluated,9192.505128797377,8841.173963532561,7965.396620311847,0,0.9617806941261093,0.9009433196504155,0,macro_link_with_possible_internal_void_or_plaza
C10,C15,73,5,dense_candidate,intermediate_candidate,7.093388275789581,164.2599392525906,42.845221235625004,26.71588027676156,106.86352110704624,80.14764083028467,0.9336219862277974,TRUE,TRUE,evaluated,10486.417143711064,10486.417143712672,9251.413271355448,0,1,0.8822282333964091,0,macro_link_with_possible_internal_void_or_plaza
C10,C2,73,15,dense_candidate,dense_candidate,8.708724047593403,180.5673441471287,50.1136659880936,26.71588027676156,106.86352110704624,80.14764083028467,0.9185061098738287,TRUE,TRUE,evaluated,12485.92514405679,11679.599221446744,10408.83200917927,254.8206894739069,0.9354212112192704,0.8911977039474078,0.020408635045773896,macro_link_with_possible_internal_void_or_plaza
C3,C6,4,16,intermediate_candidate,dense_candidate,159.2425284564294,204.4562381842569,177.0635176134999,26.71588027676156,106.86352110704624,80.14764083028467,0,FALSE,FALSE,not_evaluated_not_link_candidate,NA,NA,NA,NA,NA,NA,NA,not_linked_after_detailed_distance_check
C6,C8,16,4,dense_candidate,intermediate_candidate,178.59724672008156,243.77177592637702,196.40531742150472,26.71588027676156,106.86352110704624,80.14764083028467,0,FALSE,FALSE,not_evaluated_not_link_candidate,NA,NA,NA,NA,NA,NA,NA,not_linked_after_detailed_distance_check
C1,C4,20,5,dense_candidate,intermediate_candidate,173.9572409301091,247.02687393362862,191.7671091136261,26.71588027676156,106.86352110704624,80.14764083028467,0,FALSE,FALSE,not_evaluated_not_link_candidate,NA,NA,NA,NA,NA,NA,NA,not_linked_after_detailed_distance_check
C10,C11,73,9,dense_candidate,dense_candidate,70.42801168078634,290.30804688062426,88.23739804142164,26.71588027676156,106.86352110704624,80.14764083028467,0.34095366733950394,TRUE,TRUE,evaluated,16883.043815463956,15654.03668312289,13758.0234619283,439.20718880192726,0.9272046471137294,0.8788802364799144,0.026014692232193177,macro_link_with_possible_internal_void_or_plaza
C2,C3,15,4,dense_candidate,intermediate_candidate,262.695183259056,315.4565470593617,280.5037101726676,26.71588027676156,106.86352110704624,80.14764083028467,0,FALSE,FALSE,not_evaluated_not_link_candidate,NA,NA,NA,NA,NA,NA,NA,not_linked_after_detailed_distance_check
C11,C15,9,5,dense_candidate,intermediate_candidate,24.15716744650547,132.89686135565253,41.963678977426,26.71588027676156,106.86352110704624,80.14764083028467,0.6772007763105745,TRUE,TRUE,evaluated,9427.26900401502,8830.371541922586,7929.338614253351,0.23402312909820466,0.9366839471921065,0.8979620593095612,2.482406399971567e-5,macro_link_with_possible_internal_void_or_plaza
C11,C16,9,4,dense_candidate,intermediate_candidate,247.72068084042797,297.44614125296994,265.52984202761223,26.71588027676156,106.86352110704624,80.14764083028467,0,FALSE,FALSE,not_evaluated_not_link_candidate,NA,NA,NA,NA,NA,NA,NA,not_linked_after_detailed_distance_check
