group_id_1,group_id_2,n_shuseki_1,n_shuseki_2,interim_group_type_1,interim_group_type_2,centroid_distance_m,both_linkable_size,at_least_one_dense,centroid_preselect,pair_size_score_pre,evaluate_pair,evaluate_order,detailed_evaluation_selected,pair_generation_method
C12,C13,10,32,dense_candidate,dense_candidate,98.9589832740721,TRUE,TRUE,TRUE,1,TRUE,1,TRUE,all_pairs_combn
C6,C7,16,7,dense_candidate,intermediate_candidate,117.50686248703786,TRUE,TRUE,TRUE,1,TRUE,2,TRUE,all_pairs_combn
C11,C14,9,7,dense_candidate,intermediate_candidate,128.14461870710727,TRUE,TRUE,TRUE,1,TRUE,3,TRUE,all_pairs_combn
C10,C15,73,5,dense_candidate,intermediate_candidate,164.2599392525906,TRUE,TRUE,TRUE,1,TRUE,4,TRUE,all_pairs_combn
C10,C2,73,15,dense_candidate,dense_candidate,180.5673441471287,TRUE,TRUE,TRUE,1,TRUE,5,TRUE,all_pairs_combn
C3,C6,4,16,intermediate_candidate,dense_candidate,204.4562381842569,TRUE,TRUE,TRUE,1,TRUE,6,TRUE,all_pairs_combn
C6,C8,16,4,dense_candidate,intermediate_candidate,243.77177592637702,TRUE,TRUE,TRUE,1,TRUE,7,TRUE,all_pairs_combn
C1,C4,20,5,dense_candidate,intermediate_candidate,247.02687393362862,TRUE,TRUE,TRUE,1,TRUE,8,TRUE,all_pairs_combn
C10,C11,73,9,dense_candidate,dense_candidate,290.30804688062426,TRUE,TRUE,TRUE,1,TRUE,9,TRUE,all_pairs_combn
C2,C3,15,4,dense_candidate,intermediate_candidate,315.4565470593617,TRUE,TRUE,TRUE,1,TRUE,10,TRUE,all_pairs_combn
C11,C15,9,5,dense_candidate,intermediate_candidate,132.89686135565253,TRUE,TRUE,TRUE,0.875,TRUE,11,TRUE,all_pairs_combn
C11,C16,9,4,dense_candidate,intermediate_candidate,297.44614125296994,TRUE,TRUE,TRUE,0.8125,TRUE,12,TRUE,all_pairs_combn
C1,N11,20,1,dense_candidate,small_or_isolated_candidate,52.90366194868782,FALSE,TRUE,TRUE,1,FALSE,NA,FALSE,all_pairs_combn
C6,N110,16,1,dense_candidate,small_or_isolated_candidate,84.2923331822721,FALSE,TRUE,TRUE,1,FALSE,NA,FALSE,all_pairs_combn
C2,N48,15,1,dense_candidate,small_or_isolated_candidate,95.4957087491617,FALSE,TRUE,TRUE,1,FALSE,NA,FALSE,all_pairs_combn
C1,N17,20,1,dense_candidate,small_or_isolated_candidate,100.83525941709712,FALSE,TRUE,TRUE,1,FALSE,NA,FALSE,all_pairs_combn
