group_id,n_shuseki,dbscan_cluster_id,has_noise_point,n_core_points,mean_neighbor_count,group_geom_buffer_m,interim_group_type,selected_eps_m,selected_min_pts,selected_d_adj_m,macro_cluster_id
C1,20,1,FALSE,0,6.9,8.905293425587187,dense_candidate,40,4,26.71588027676156,M1
C9,4,9,FALSE,0,2,8.905293425587187,intermediate_candidate,40,4,26.71588027676156,M10
N94,1,0,TRUE,0,2,8.905293425587187,small_or_isolated_candidate,40,4,26.71588027676156,M100
N95,1,0,TRUE,0,2,8.905293425587187,small_or_isolated_candidate,40,4,26.71588027676156,M101
N96,1,0,TRUE,0,1,8.905293425587187,small_or_isolated_candidate,40,4,26.71588027676156,M102
N10,1,0,TRUE,0,0,8.905293425587187,small_or_isolated_candidate,40,4,26.71588027676156,M11
N104,1,0,TRUE,0,2,8.905293425587187,small_or_isolated_candidate,40,4,26.71588027676156,M12
N107,1,0,TRUE,0,1,8.905293425587187,small_or_isolated_candidate,40,4,26.71588027676156,M13
N11,1,0,TRUE,0,0,8.905293425587187,small_or_isolated_candidate,40,4,26.71588027676156,M14
N110,1,0,TRUE,0,0,8.905293425587187,small_or_isolated_candidate,40,4,26.71588027676156,M15
N111,1,0,TRUE,0,1,8.905293425587187,small_or_isolated_candidate,40,4,26.71588027676156,M16
N112,1,0,TRUE,0,1,8.905293425587187,small_or_isolated_candidate,40,4,26.71588027676156,M17
N113,1,0,TRUE,0,0,8.905293425587187,small_or_isolated_candidate,40,4,26.71588027676156,M18
N114,1,0,TRUE,0,0,8.905293425587187,small_or_isolated_candidate,40,4,26.71588027676156,M19
C10,73,10,FALSE,0,12.027397260273972,8.905293425587187,dense_candidate,40,4,26.71588027676156,M2
C11,9,11,FALSE,0,4.222222222222222,8.905293425587187,dense_candidate,40,4,26.71588027676156,M2
C14,7,14,FALSE,0,6,8.905293425587187,intermediate_candidate,40,4,26.71588027676156,M2
C15,5,15,FALSE,0,2.4,8.905293425587187,intermediate_candidate,40,4,26.71588027676156,M2
C2,15,2,FALSE,0,6.266666666666667,8.905293425587187,dense_candidate,40,4,26.71588027676156,M2
N117,1,0,TRUE,0,2,8.905293425587187,small_or_isolated_candidate,40,4,26.71588027676156,M20
N118,1,0,TRUE,0,1,8.905293425587187,small_or_isolated_candidate,40,4,26.71588027676156,M21
N119,1,0,TRUE,0,0,8.905293425587187,small_or_isolated_candidate,40,4,26.71588027676156,M22
N120,1,0,TRUE,0,0,8.905293425587187,small_or_isolated_candidate,40,4,26.71588027676156,M23
N121,1,0,TRUE,0,2,8.905293425587187,small_or_isolated_candidate,40,4,26.71588027676156,M24
N122,1,0,TRUE,0,2,8.905293425587187,small_or_isolated_candidate,40,4,26.71588027676156,M25
N123,1,0,TRUE,0,2,8.905293425587187,small_or_isolated_candidate,40,4,26.71588027676156,M26
N124,1,0,TRUE,0,2,8.905293425587187,small_or_isolated_candidate,40,4,26.71588027676156,M27
N125,1,0,TRUE,0,2,8.905293425587187,small_or_isolated_candidate,40,4,26.71588027676156,M28
N126,1,0,TRUE,0,0,8.905293425587187,small_or_isolated_candidate,40,4,26.71588027676156,M29
C12,10,12,FALSE,0,8,8.905293425587187,dense_candidate,40,4,26.71588027676156,M3
C13,32,13,FALSE,0,13.625,8.905293425587187,dense_candidate,40,4,26.71588027676156,M3
N127,1,0,TRUE,0,1,8.905293425587187,small_or_isolated_candidate,40,4,26.71588027676156,M30
N128,1,0,TRUE,0,1,8.905293425587187,small_or_isolated_candidate,40,4,26.71588027676156,M31
N129,1,0,TRUE,0,1,8.905293425587187,small_or_isolated_candidate,40,4,26.71588027676156,M32
N131,1,0,TRUE,0,0,8.905293425587187,small_or_isolated_candidate,40,4,26.71588027676156,M33
N132,1,0,TRUE,0,0,8.905293425587187,small_or_isolated_candidate,40,4,26.71588027676156,M34
N133,1,0,TRUE,0,0,8.905293425587187,small_or_isolated_candidate,40,4,26.71588027676156,M35
N134,1,0,TRUE,0,2,8.905293425587187,small_or_isolated_candidate,40,4,26.71588027676156,M36
N135,1,0,TRUE,0,0,8.905293425587187,small_or_isolated_candidate,40,4,26.71588027676156,M37
N136,1,0,TRUE,0,0,8.905293425587187,small_or_isolated_candidate,40,4,26.71588027676156,M38
N137,1,0,TRUE,0,0,8.905293425587187,small_or_isolated_candidate,40,4,26.71588027676156,M39
C16,4,16,FALSE,0,2,8.905293425587187,intermediate_candidate,40,4,26.71588027676156,M4
N138,1,0,TRUE,0,0,8.905293425587187,small_or_isolated_candidate,40,4,26.71588027676156,M40
N140,1,0,TRUE,0,1,8.905293425587187,small_or_isolated_candidate,40,4,26.71588027676156,M41
N141,1,0,TRUE,0,1,8.905293425587187,small_or_isolated_candidate,40,4,26.71588027676156,M42
N142,1,0,TRUE,0,0,8.905293425587187,small_or_isolated_candidate,40,4,26.71588027676156,M43
N143,1,0,TRUE,0,1,8.905293425587187,small_or_isolated_candidate,40,4,26.71588027676156,M44
N144,1,0,TRUE,0,1,8.905293425587187,small_or_isolated_candidate,40,4,26.71588027676156,M45
N145,1,0,TRUE,0,0,8.905293425587187,small_or_isolated_candidate,40,4,26.71588027676156,M46
N146,1,0,TRUE,0,0,8.905293425587187,small_or_isolated_candidate,40,4,26.71588027676156,M47
N147,1,0,TRUE,0,0,8.905293425587187,small_or_isolated_candidate,40,4,26.71588027676156,M48
N148,1,0,TRUE,0,0,8.905293425587187,small_or_isolated_candidate,40,4,26.71588027676156,M49
C3,4,3,FALSE,0,3,8.905293425587187,intermediate_candidate,40,4,26.71588027676156,M5
N149,1,0,TRUE,0,0,8.905293425587187,small_or_isolated_candidate,40,4,26.71588027676156,M50
N150,1,0,TRUE,0,0,8.905293425587187,small_or_isolated_candidate,40,4,26.71588027676156,M51
N151,1,0,TRUE,0,0,8.905293425587187,small_or_isolated_candidate,40,4,26.71588027676156,M52
N152,1,0,TRUE,0,2,8.905293425587187,small_or_isolated_candidate,40,4,26.71588027676156,M53
N153,1,0,TRUE,0,2,8.905293425587187,small_or_isolated_candidate,40,4,26.71588027676156,M54
N157,1,0,TRUE,0,2,8.905293425587187,small_or_isolated_candidate,40,4,26.71588027676156,M55
N17,1,0,TRUE,0,1,8.905293425587187,small_or_isolated_candidate,40,4,26.71588027676156,M56
N18,1,0,TRUE,0,1,8.905293425587187,small_or_isolated_candidate,40,4,26.71588027676156,M57
N182,1,0,TRUE,0,0,8.905293425587187,small_or_isolated_candidate,40,4,26.71588027676156,M58
N19,1,0,TRUE,0,0,8.905293425587187,small_or_isolated_candidate,40,4,26.71588027676156,M59
C4,5,4,FALSE,0,4,8.905293425587187,intermediate_candidate,40,4,26.71588027676156,M6
N20,1,0,TRUE,0,1,8.905293425587187,small_or_isolated_candidate,40,4,26.71588027676156,M60
N206,1,0,TRUE,0,0,8.905293425587187,small_or_isolated_candidate,40,4,26.71588027676156,M61
