eps_m,min_pts,n_points,n_clusters,noise_count,clustered_count,noise_ratio,clustered_ratio,n_dense_clusters,n_intermediate_clusters,n_small_clusters,max_cluster_size,median_cluster_size,core_point_count,core_point_ratio,score_clustered_ratio,score_noise_ratio,score_dense_presence,score_not_overmerged,parameter_score,interpretation
40,4,312,16,92,220,0.2948717948717949,0.7051282051282052,7,9,0,73,7,0,0,0.9948717948717948,0.9948717948717949,1,1,0.9971794871794871,候補として検討可能
30,3,312,24,96,216,0.3076923076923077,0.6923076923076923,6,13,5,61,4,0,0,0.9923076923076923,0.9923076923076923,1,1,0.9957692307692309,候補として検討可能
52,5,312,8,97,215,0.3108974358974359,0.6891025641025641,4,4,0,103,14,0,0,0.9891025641025641,0.9891025641025641,1,1,0.9940064102564102,候補として検討可能
50,5,312,10,99,213,0.3173076923076923,0.6826923076923077,6,4,0,87,12.5,0,0,0.9826923076923078,0.9826923076923078,1,1,0.9904807692307692,候補として検討可能
60,5,312,8,88,224,0.28205128205128205,0.717948717948718,5,3,0,104,16,0,0,0.982051282051282,0.9820512820512821,1,1,0.9901282051282051,候補として検討可能
43,4,312,15,84,228,0.2692307692307692,0.7307692307692307,7,8,0,88,7,0,0,0.9692307692307692,0.9692307692307692,1,1,0.9830769230769231,候補として検討可能
35,3,312,23,83,229,0.266025641025641,0.7339743589743589,6,11,6,73,5,0,0,0.966025641025641,0.966025641025641,1,1,0.9813141025641027,候補として検討可能
45,4,312,15,83,229,0.266025641025641,0.7339743589743589,7,8,0,88,7,0,0,0.966025641025641,0.966025641025641,1,1,0.9813141025641027,候補として検討可能
43,5,312,10,105,207,0.33653846153846156,0.6634615384615384,7,3,0,87,13,0,0,0.9634615384615385,0.9634615384615384,1,1,0.9799038461538462,候補として検討可能
45,5,312,10,105,207,0.33653846153846156,0.6634615384615384,7,3,0,87,13,0,0,0.9634615384615385,0.9634615384615384,1,1,0.9799038461538462,候補として検討可能
35,4,312,16,107,205,0.34294871794871795,0.657051282051282,6,10,0,73,5,0,0,0.9570512820512821,0.957051282051282,1,1,0.9763782051282052,候補として検討可能
50,4,312,14,79,233,0.2532051282051282,0.7467948717948718,6,8,0,88,6.5,0,0,0.9532051282051281,0.9532051282051281,1,1,0.9742628205128204,候補として検討可能
52,4,312,12,77,235,0.2467948717948718,0.7532051282051282,4,8,0,104,6.5,0,0,0.9467948717948718,0.9467948717948718,1,1,0.9707371794871794,候補として検討可能
40,5,312,11,115,197,0.3685897435897436,0.6314102564102564,7,4,0,73,10,0,0,0.9314102564102564,0.9314102564102564,1,1,0.9622756410256411,候補として検討可能
25,3,312,21,118,194,0.3782051282051282,0.6217948717948718,5,11,5,58,4,0,0,0.9217948717948719,0.9217948717948719,1,1,0.9569871794871795,候補として検討可能
40,3,312,23,68,244,0.21794871794871795,0.782051282051282,7,10,6,73,5,0,0,0.9179487179487179,0.917948717948718,1,1,0.954871794871795,候補として検討可能
30,4,312,17,122,190,0.391025641025641,0.6089743589743589,6,11,0,61,5,0,0,0.908974358974359,0.908974358974359,1,1,0.9499358974358975,候補として検討可能
43,3,312,20,65,247,0.20833333333333334,0.7916666666666666,7,8,5,88,5,0,0,0.9083333333333333,0.9083333333333333,1,1,0.9495833333333333,候補として検討可能
45,3,312,20,65,247,0.20833333333333334,0.7916666666666666,7,8,5,88,5,0,0,0.9083333333333333,0.9083333333333333,1,1,0.9495833333333333,候補として検討可能
60,4,312,13,65,247,0.20833333333333334,0.7916666666666666,5,8,0,105,6,0,0,0.9083333333333333,0.9083333333333333,1,1,0.9495833333333333,候補として検討可能
24,3,312,20,123,189,0.3942307692307692,0.6057692307692307,5,9,6,58,4.5,0,0,0.9057692307692308,0.9057692307692308,1,1,0.9481730769230768,候補として検討可能
