edge_id,from_node_id,to_node_id,from_grid_id,to_grid_id,distance_m,azimuth_deg,orientation_deg,direction_bin,interval_fit,from_shuseki_count,to_shuseki_count
E1,G64922,G67735,64922,67735,22.360679774997898,26.56505117707799,26.56505117707799,22.5,0.6944271909999159,1,1
E2,G64922,G68231,64922,68231,20,0,0,0,0.6,1,1
E3,G65358,G67735,65358,67735,20,0,0,0,0.6,1,1
E4,G65358,G68231,65358,68231,22.360679774997898,333.434948822922,153.43494882292202,135,0.6944271909999159,1,1
E5,G65822,G67735,65822,67735,22.360679774997898,26.56505117707799,26.56505117707799,22.5,0.6944271909999159,3,1
E6,G65822,G68231,65822,68231,20,0,0,0,0.6,3,1
E7,G71689,G73654,71689,73654,20,0,0,0,0.6,1,1
E8,G71689,G74569,71689,74569,22.360679774997898,333.434948822922,153.43494882292202,135,0.6944271909999159,1,1
E9,G72181,G73125,72181,73125,22.360679774997898,296.565051177078,116.56505117707798,112.5,0.6944271909999159,2,1
E10,G72181,G73654,72181,73654,22.360679774997898,333.434948822922,153.43494882292202,135,0.6944271909999159,2,1
E11,G72181,G74569,72181,74569,28.284271247461902,315,135,135,0.9313708498984761,2,1
E12,G72181,G74622,72181,74622,22.360679774997898,296.565051177078,116.56505117707798,112.5,0.6944271909999159,2,1
E13,G72608,G73125,72608,73125,20,270,90,90,0.6,1,1
E14,G72608,G74569,72608,74569,22.360679774997898,296.565051177078,116.56505117707798,112.5,0.6944271909999159,1,1
E15,G72608,G74622,72608,74622,20,270,90,90,0.6,1,1
E16,G73115,G73654,73115,73654,20,0,0,0,0.6,1,1
E17,G73115,G74569,73115,74569,22.360679774997898,333.434948822922,153.43494882292202,135,0.6944271909999159,1,1
E18,G75050,G77030,75050,77030,20,0,0,0,0.6,1,1
E19,G75050,G77457,75050,77457,22.360679774997898,333.434948822922,153.43494882292202,135,0.6944271909999159,1,1
E20,G75050,G80889,75050,80889,44.721359549995796,243.43494882292202,63.434948822922024,45,0.41114561800016813,1,1
E21,G75050,G81287,75050,81287,41.23105625617661,255.9637565320735,75.96375653207349,67.5,0.5507577497529357,1,1
E22,G75051,G76556,75051,76556,20,270,90,90,0.6,3,1
E23,G75051,G76980,75051,76980,22.360679774997898,296.565051177078,116.56505117707798,112.5,0.6944271909999159,3,1
E24,G75051,G76982,75051,76982,20,270,90,90,0.6,3,1
E25,G75051,G77015,75051,77015,22.360679774997898,296.565051177078,116.56505117707798,112.5,0.6944271909999159,3,1
E26,G75051,G77030,75051,77030,22.360679774997898,333.434948822922,153.43494882292202,135,0.6944271909999159,3,1
E27,G75051,G77457,75051,77457,28.284271247461902,315,135,135,0.9313708498984761,3,1
E28,G75051,G78000,75051,78000,22.360679774997898,296.565051177078,116.56505117707798,112.5,0.6944271909999159,3,1
E29,G75103,G76556,75103,76556,22.360679774997898,243.43494882292202,63.434948822922024,45,0.6944271909999159,1,1
