cluster_id,cluster_n,cluster_area_m2,cluster_density_per_ha,dist_to_survey_boundary_m,cluster_boundary_touch,context_area_m2,context_surveyed_area_m2,context_no_data_area_m2,context_absence_area_m2,context_no_data_ratio,context_absence_ratio
1,191,39611.75679763721,48.218007844426864,0,TRUE,156900,13270.406132354557,105900,7445.184978818191,0.6749521988527725,0.561036708640446
2,19,2220.0504424433457,85.58364096938698,0,TRUE,57400,1859.2822884019,47900,1010.435326772373,0.8344947735191638,0.5434545001990352
3,3,739.1199496970075,40.58881107497924,0,TRUE,47100,14975.935113760004,22700,13660.367930659375,0.4819532908704883,0.9121545884709479
4,7,1290.2435742031957,54.25332193049617,0,TRUE,51300,8797.711444354698,31400,6204.393045030684,0.6120857699805068,0.7052280680348876
5,3,1216.5493012154475,24.659913059032764,0,TRUE,53100,802.4139496645819,47000,660.6302718216336,0.8851224105461394,0.8233035730470346
6,10,1157.9283181069477,86.36113171796863,0,TRUE,50300,1817.1845540440474,41800,968.3375924145205,0.831013916500994,0.5328779568698935
7,26,7646.428396936506,34.002803204718084,0,TRUE,80800,19327.52111409688,54200,17832.737968691406,0.6707920792079208,0.9226603796430353
8,3,1329.0296543830482,22.572859756034838,0,TRUE,53500,6140.454756308257,43900,5688.372633255302,0.8205607476635514,0.9263764426260908
9,50,15755.947855050648,31.734047649803717,0,TRUE,102600,16651.807579757977,73100,10151.148683724714,0.7124756335282652,0.6096124180575149
10,3,1204.5808305818719,24.90492894985596,0,TRUE,51600,6153.412511707793,36300,3822.8598967592498,0.7034883720930233,0.6212585113521455
11,27,12086.543342591962,22.33889312658506,0,TRUE,64409.764824476115,7646.792037519485,26847.280405614038,6598.4180988490125,0.4168200346449938,0.862900163424537
12,7,1322.8498974515533,52.9160565645836,0.43285086994076205,TRUE,51300,14991.339426157152,23600,14212.1499351063,0.4600389863547758,0.9480240244783392
